Date,Year,Quarter,Week Number,Month Number,Month,Day of Week,Day of Week Number,Day of Month number
01 July 2017,2017,Q3,27,7,July,Saturday,5,1
02 July 2017,2017,Q3,27,7,July,Sunday,6,2
03 July 2017,2017,Q3,28,7,July,Monday,0,3
04 July 2017,2017,Q3,28,7,July,Tuesday,1,4
05 July 2017,2017,Q3,28,7,July,Wednesday,2,5
06 July 2017,2017,Q3,28,7,July,Thursday,3,6
07 July 2017,2017,Q3,28,7,July,Friday,4,7
08 July 2017,2017,Q3,28,7,July,Saturday,5,8
09 July 2017,2017,Q3,28,7,July,Sunday,6,9
10 July 2017,2017,Q3,29,7,July,Monday,0,10
11 July 2017,2017,Q3,29,7,July,Tuesday,1,11
12 July 2017,2017,Q3,29,7,July,Wednesday,2,12
13 July 2017,2017,Q3,29,7,July,Thursday,3,13
14 July 2017,2017,Q3,29,7,July,Friday,4,14
15 July 2017,2017,Q3,29,7,July,Saturday,5,15
16 July 2017,2017,Q3,29,7,July,Sunday,6,16
17 July 2017,2017,Q3,30,7,July,Monday,0,17
18 July 2017,2017,Q3,30,7,July,Tuesday,1,18
19 July 2017,2017,Q3,30,7,July,Wednesday,2,19
20 July 2017,2017,Q3,30,7,July,Thursday,3,20
21 July 2017,2017,Q3,30,7,July,Friday,4,21
22 July 2017,2017,Q3,30,7,July,Saturday,5,22
23 July 2017,2017,Q3,30,7,July,Sunday,6,23
24 July 2017,2017,Q3,31,7,July,Monday,0,24
25 July 2017,2017,Q3,31,7,July,Tuesday,1,25
26 July 2017,2017,Q3,31,7,July,Wednesday,2,26
27 July 2017,2017,Q3,31,7,July,Thursday,3,27
28 July 2017,2017,Q3,31,7,July,Friday,4,28
29 July 2017,2017,Q3,31,7,July,Saturday,5,29
30 July 2017,2017,Q3,31,7,July,Sunday,6,30
31 July 2017,2017,Q3,32,7,July,Monday,0,31
01 July 2018,2018,Q3,26,7,July,Sunday,6,1
02 July 2018,2018,Q3,27,7,July,Monday,0,2
03 July 2018,2018,Q3,27,7,July,Tuesday,1,3
04 July 2018,2018,Q3,27,7,July,Wednesday,2,4
05 July 2018,2018,Q3,27,7,July,Thursday,3,5
06 July 2018,2018,Q3,27,7,July,Friday,4,6
07 July 2018,2018,Q3,27,7,July,Saturday,5,7
08 July 2018,2018,Q3,27,7,July,Sunday,6,8
09 July 2018,2018,Q3,28,7,July,Monday,0,9
10 July 2018,2018,Q3,28,7,July,Tuesday,1,10
11 July 2018,2018,Q3,28,7,July,Wednesday,2,11
12 July 2018,2018,Q3,28,7,July,Thursday,3,12
13 July 2018,2018,Q3,28,7,July,Friday,4,13
14 July 2018,2018,Q3,28,7,July,Saturday,5,14
15 July 2018,2018,Q3,28,7,July,Sunday,6,15
16 July 2018,2018,Q3,29,7,July,Monday,0,16
17 July 2018,2018,Q3,29,7,July,Tuesday,1,17
18 July 2018,2018,Q3,29,7,July,Wednesday,2,18
19 July 2018,2018,Q3,29,7,July,Thursday,3,19
20 July 2018,2018,Q3,29,7,July,Friday,4,20
21 July 2018,2018,Q3,29,7,July,Saturday,5,21
22 July 2018,2018,Q3,29,7,July,Sunday,6,22
23 July 2018,2018,Q3,30,7,July,Monday,0,23
24 July 2018,2018,Q3,30,7,July,Tuesday,1,24
25 July 2018,2018,Q3,30,7,July,Wednesday,2,25
26 July 2018,2018,Q3,30,7,July,Thursday,3,26
27 July 2018,2018,Q3,30,7,July,Friday,4,27
28 July 2018,2018,Q3,30,7,July,Saturday,5,28
29 July 2018,2018,Q3,30,7,July,Sunday,6,29
30 July 2018,2018,Q3,31,7,July,Monday,0,30
31 July 2018,2018,Q3,31,7,July,Tuesday,1,31
01 July 2019,2019,Q3,27,7,July,Monday,0,1
02 July 2019,2019,Q3,27,7,July,Tuesday,1,2
03 July 2019,2019,Q3,27,7,July,Wednesday,2,3
04 July 2019,2019,Q3,27,7,July,Thursday,3,4
05 July 2019,2019,Q3,27,7,July,Friday,4,5
06 July 2019,2019,Q3,27,7,July,Saturday,5,6
07 July 2019,2019,Q3,27,7,July,Sunday,6,7
08 July 2019,2019,Q3,28,7,July,Monday,0,8
09 July 2019,2019,Q3,28,7,July,Tuesday,1,9
10 July 2019,2019,Q3,28,7,July,Wednesday,2,10
11 July 2019,2019,Q3,28,7,July,Thursday,3,11
12 July 2019,2019,Q3,28,7,July,Friday,4,12
13 July 2019,2019,Q3,28,7,July,Saturday,5,13
14 July 2019,2019,Q3,28,7,July,Sunday,6,14
15 July 2019,2019,Q3,29,7,July,Monday,0,15
16 July 2019,2019,Q3,29,7,July,Tuesday,1,16
17 July 2019,2019,Q3,29,7,July,Wednesday,2,17
18 July 2019,2019,Q3,29,7,July,Thursday,3,18
19 July 2019,2019,Q3,29,7,July,Friday,4,19
20 July 2019,2019,Q3,29,7,July,Saturday,5,20
21 July 2019,2019,Q3,29,7,July,Sunday,6,21
22 July 2019,2019,Q3,30,7,July,Monday,0,22
23 July 2019,2019,Q3,30,7,July,Tuesday,1,23
24 July 2019,2019,Q3,30,7,July,Wednesday,2,24
25 July 2019,2019,Q3,30,7,July,Thursday,3,25
26 July 2019,2019,Q3,30,7,July,Friday,4,26
27 July 2019,2019,Q3,30,7,July,Saturday,5,27
28 July 2019,2019,Q3,30,7,July,Sunday,6,28
29 July 2019,2019,Q3,31,7,July,Monday,0,29
30 July 2019,2019,Q3,31,7,July,Tuesday,1,30
31 July 2019,2019,Q3,31,7,July,Wednesday,2,31
01 July 2020,2020,Q3,27,7,July,Wednesday,2,1
02 July 2020,2020,Q3,27,7,July,Thursday,3,2
03 July 2020,2020,Q3,27,7,July,Friday,4,3
04 July 2020,2020,Q3,27,7,July,Saturday,5,4
05 July 2020,2020,Q3,27,7,July,Sunday,6,5
06 July 2020,2020,Q3,28,7,July,Monday,0,6
07 July 2020,2020,Q3,28,7,July,Tuesday,1,7
08 July 2020,2020,Q3,28,7,July,Wednesday,2,8
09 July 2020,2020,Q3,28,7,July,Thursday,3,9
10 July 2020,2020,Q3,28,7,July,Friday,4,10
11 July 2020,2020,Q3,28,7,July,Saturday,5,11
12 July 2020,2020,Q3,28,7,July,Sunday,6,12
13 July 2020,2020,Q3,29,7,July,Monday,0,13
14 July 2020,2020,Q3,29,7,July,Tuesday,1,14
15 July 2020,2020,Q3,29,7,July,Wednesday,2,15
16 July 2020,2020,Q3,29,7,July,Thursday,3,16
17 July 2020,2020,Q3,29,7,July,Friday,4,17
18 July 2020,2020,Q3,29,7,July,Saturday,5,18
19 July 2020,2020,Q3,29,7,July,Sunday,6,19
20 July 2020,2020,Q3,30,7,July,Monday,0,20
21 July 2020,2020,Q3,30,7,July,Tuesday,1,21
22 July 2020,2020,Q3,30,7,July,Wednesday,2,22
23 July 2020,2020,Q3,30,7,July,Thursday,3,23
24 July 2020,2020,Q3,30,7,July,Friday,4,24
25 July 2020,2020,Q3,30,7,July,Saturday,5,25
26 July 2020,2020,Q3,30,7,July,Sunday,6,26
27 July 2020,2020,Q3,31,7,July,Monday,0,27
28 July 2020,2020,Q3,31,7,July,Tuesday,1,28
29 July 2020,2020,Q3,31,7,July,Wednesday,2,29
30 July 2020,2020,Q3,31,7,July,Thursday,3,30
31 July 2020,2020,Q3,31,7,July,Friday,4,31
01 August 2017,2017,Q3,32,8,August,Tuesday,1,1
02 August 2017,2017,Q3,32,8,August,Wednesday,2,2
03 August 2017,2017,Q3,32,8,August,Thursday,3,3
04 August 2017,2017,Q3,32,8,August,Friday,4,4
05 August 2017,2017,Q3,32,8,August,Saturday,5,5
06 August 2017,2017,Q3,32,8,August,Sunday,6,6
07 August 2017,2017,Q3,33,8,August,Monday,0,7
08 August 2017,2017,Q3,33,8,August,Tuesday,1,8
09 August 2017,2017,Q3,33,8,August,Wednesday,2,9
10 August 2017,2017,Q3,33,8,August,Thursday,3,10
11 August 2017,2017,Q3,33,8,August,Friday,4,11
12 August 2017,2017,Q3,33,8,August,Saturday,5,12
13 August 2017,2017,Q3,33,8,August,Sunday,6,13
14 August 2017,2017,Q3,34,8,August,Monday,0,14
15 August 2017,2017,Q3,34,8,August,Tuesday,1,15
16 August 2017,2017,Q3,34,8,August,Wednesday,2,16
17 August 2017,2017,Q3,34,8,August,Thursday,3,17
18 August 2017,2017,Q3,34,8,August,Friday,4,18
19 August 2017,2017,Q3,34,8,August,Saturday,5,19
20 August 2017,2017,Q3,34,8,August,Sunday,6,20
21 August 2017,2017,Q3,35,8,August,Monday,0,21
22 August 2017,2017,Q3,35,8,August,Tuesday,1,22
23 August 2017,2017,Q3,35,8,August,Wednesday,2,23
24 August 2017,2017,Q3,35,8,August,Thursday,3,24
25 August 2017,2017,Q3,35,8,August,Friday,4,25
26 August 2017,2017,Q3,35,8,August,Saturday,5,26
27 August 2017,2017,Q3,35,8,August,Sunday,6,27
28 August 2017,2017,Q3,36,8,August,Monday,0,28
29 August 2017,2017,Q3,36,8,August,Tuesday,1,29
30 August 2017,2017,Q3,36,8,August,Wednesday,2,30
31 August 2017,2017,Q3,36,8,August,Thursday,3,31
01 August 2018,2018,Q3,31,8,August,Wednesday,2,1
02 August 2018,2018,Q3,31,8,August,Thursday,3,2
03 August 2018,2018,Q3,31,8,August,Friday,4,3
04 August 2018,2018,Q3,31,8,August,Saturday,5,4
05 August 2018,2018,Q3,31,8,August,Sunday,6,5
06 August 2018,2018,Q3,32,8,August,Monday,0,6
07 August 2018,2018,Q3,32,8,August,Tuesday,1,7
08 August 2018,2018,Q3,32,8,August,Wednesday,2,8
09 August 2018,2018,Q3,32,8,August,Thursday,3,9
10 August 2018,2018,Q3,32,8,August,Friday,4,10
11 August 2018,2018,Q3,32,8,August,Saturday,5,11
12 August 2018,2018,Q3,32,8,August,Sunday,6,12
13 August 2018,2018,Q3,33,8,August,Monday,0,13
14 August 2018,2018,Q3,33,8,August,Tuesday,1,14
15 August 2018,2018,Q3,33,8,August,Wednesday,2,15
16 August 2018,2018,Q3,33,8,August,Thursday,3,16
17 August 2018,2018,Q3,33,8,August,Friday,4,17
18 August 2018,2018,Q3,33,8,August,Saturday,5,18
19 August 2018,2018,Q3,33,8,August,Sunday,6,19
20 August 2018,2018,Q3,34,8,August,Monday,0,20
21 August 2018,2018,Q3,34,8,August,Tuesday,1,21
22 August 2018,2018,Q3,34,8,August,Wednesday,2,22
23 August 2018,2018,Q3,34,8,August,Thursday,3,23
24 August 2018,2018,Q3,34,8,August,Friday,4,24
25 August 2018,2018,Q3,34,8,August,Saturday,5,25
26 August 2018,2018,Q3,34,8,August,Sunday,6,26
27 August 2018,2018,Q3,35,8,August,Monday,0,27
28 August 2018,2018,Q3,35,8,August,Tuesday,1,28
29 August 2018,2018,Q3,35,8,August,Wednesday,2,29
30 August 2018,2018,Q3,35,8,August,Thursday,3,30
31 August 2018,2018,Q3,35,8,August,Friday,4,31
01 August 2019,2019,Q3,31,8,August,Thursday,3,1
02 August 2019,2019,Q3,31,8,August,Friday,4,2
03 August 2019,2019,Q3,31,8,August,Saturday,5,3
04 August 2019,2019,Q3,31,8,August,Sunday,6,4
05 August 2019,2019,Q3,32,8,August,Monday,0,5
06 August 2019,2019,Q3,32,8,August,Tuesday,1,6
07 August 2019,2019,Q3,32,8,August,Wednesday,2,7
08 August 2019,2019,Q3,32,8,August,Thursday,3,8
09 August 2019,2019,Q3,32,8,August,Friday,4,9
10 August 2019,2019,Q3,32,8,August,Saturday,5,10
11 August 2019,2019,Q3,32,8,August,Sunday,6,11
12 August 2019,2019,Q3,33,8,August,Monday,0,12
13 August 2019,2019,Q3,33,8,August,Tuesday,1,13
14 August 2019,2019,Q3,33,8,August,Wednesday,2,14
15 August 2019,2019,Q3,33,8,August,Thursday,3,15
16 August 2019,2019,Q3,33,8,August,Friday,4,16
17 August 2019,2019,Q3,33,8,August,Saturday,5,17
18 August 2019,2019,Q3,33,8,August,Sunday,6,18
19 August 2019,2019,Q3,34,8,August,Monday,0,19
20 August 2019,2019,Q3,34,8,August,Tuesday,1,20
21 August 2019,2019,Q3,34,8,August,Wednesday,2,21
22 August 2019,2019,Q3,34,8,August,Thursday,3,22
23 August 2019,2019,Q3,34,8,August,Friday,4,23
24 August 2019,2019,Q3,34,8,August,Saturday,5,24
25 August 2019,2019,Q3,34,8,August,Sunday,6,25
26 August 2019,2019,Q3,35,8,August,Monday,0,26
27 August 2019,2019,Q3,35,8,August,Tuesday,1,27
28 August 2019,2019,Q3,35,8,August,Wednesday,2,28
29 August 2019,2019,Q3,35,8,August,Thursday,3,29
30 August 2019,2019,Q3,35,8,August,Friday,4,30
31 August 2019,2019,Q3,35,8,August,Saturday,5,31
01 August 2020,2020,Q3,31,8,August,Saturday,5,1
02 August 2020,2020,Q3,31,8,August,Sunday,6,2
03 August 2020,2020,Q3,32,8,August,Monday,0,3
04 August 2020,2020,Q3,32,8,August,Tuesday,1,4
05 August 2020,2020,Q3,32,8,August,Wednesday,2,5
06 August 2020,2020,Q3,32,8,August,Thursday,3,6
07 August 2020,2020,Q3,32,8,August,Friday,4,7
08 August 2020,2020,Q3,32,8,August,Saturday,5,8
09 August 2020,2020,Q3,32,8,August,Sunday,6,9
10 August 2020,2020,Q3,33,8,August,Monday,0,10
11 August 2020,2020,Q3,33,8,August,Tuesday,1,11
12 August 2020,2020,Q3,33,8,August,Wednesday,2,12
13 August 2020,2020,Q3,33,8,August,Thursday,3,13
14 August 2020,2020,Q3,33,8,August,Friday,4,14
15 August 2020,2020,Q3,33,8,August,Saturday,5,15
16 August 2020,2020,Q3,33,8,August,Sunday,6,16
17 August 2020,2020,Q3,34,8,August,Monday,0,17
18 August 2020,2020,Q3,34,8,August,Tuesday,1,18
19 August 2020,2020,Q3,34,8,August,Wednesday,2,19
20 August 2020,2020,Q3,34,8,August,Thursday,3,20
21 August 2020,2020,Q3,34,8,August,Friday,4,21
22 August 2020,2020,Q3,34,8,August,Saturday,5,22
23 August 2020,2020,Q3,34,8,August,Sunday,6,23
24 August 2020,2020,Q3,35,8,August,Monday,0,24
25 August 2020,2020,Q3,35,8,August,Tuesday,1,25
26 August 2020,2020,Q3,35,8,August,Wednesday,2,26
27 August 2020,2020,Q3,35,8,August,Thursday,3,27
28 August 2020,2020,Q3,35,8,August,Friday,4,28
29 August 2020,2020,Q3,35,8,August,Saturday,5,29
30 August 2020,2020,Q3,35,8,August,Sunday,6,30
31 August 2020,2020,Q3,36,8,August,Monday,0,31
01 September 2017,2017,Q3,36,9,September,Friday,4,1
02 September 2017,2017,Q3,36,9,September,Saturday,5,2
03 September 2017,2017,Q3,36,9,September,Sunday,6,3
04 September 2017,2017,Q3,37,9,September,Monday,0,4
05 September 2017,2017,Q3,37,9,September,Tuesday,1,5
06 September 2017,2017,Q3,37,9,September,Wednesday,2,6
07 September 2017,2017,Q3,37,9,September,Thursday,3,7
08 September 2017,2017,Q3,37,9,September,Friday,4,8
09 September 2017,2017,Q3,37,9,September,Saturday,5,9
10 September 2017,2017,Q3,37,9,September,Sunday,6,10
11 September 2017,2017,Q3,38,9,September,Monday,0,11
12 September 2017,2017,Q3,38,9,September,Tuesday,1,12
13 September 2017,2017,Q3,38,9,September,Wednesday,2,13
14 September 2017,2017,Q3,38,9,September,Thursday,3,14
15 September 2017,2017,Q3,38,9,September,Friday,4,15
16 September 2017,2017,Q3,38,9,September,Saturday,5,16
17 September 2017,2017,Q3,38,9,September,Sunday,6,17
18 September 2017,2017,Q3,39,9,September,Monday,0,18
19 September 2017,2017,Q3,39,9,September,Tuesday,1,19
20 September 2017,2017,Q3,39,9,September,Wednesday,2,20
21 September 2017,2017,Q3,39,9,September,Thursday,3,21
22 September 2017,2017,Q3,39,9,September,Friday,4,22
23 September 2017,2017,Q3,39,9,September,Saturday,5,23
24 September 2017,2017,Q3,39,9,September,Sunday,6,24
25 September 2017,2017,Q3,40,9,September,Monday,0,25
26 September 2017,2017,Q3,40,9,September,Tuesday,1,26
27 September 2017,2017,Q3,40,9,September,Wednesday,2,27
28 September 2017,2017,Q3,40,9,September,Thursday,3,28
29 September 2017,2017,Q3,40,9,September,Friday,4,29
30 September 2017,2017,Q3,40,9,September,Saturday,5,30
01 September 2018,2018,Q3,35,9,September,Saturday,5,1
02 September 2018,2018,Q3,35,9,September,Sunday,6,2
03 September 2018,2018,Q3,36,9,September,Monday,0,3
04 September 2018,2018,Q3,36,9,September,Tuesday,1,4
05 September 2018,2018,Q3,36,9,September,Wednesday,2,5
06 September 2018,2018,Q3,36,9,September,Thursday,3,6
07 September 2018,2018,Q3,36,9,September,Friday,4,7
08 September 2018,2018,Q3,36,9,September,Saturday,5,8
09 September 2018,2018,Q3,36,9,September,Sunday,6,9
10 September 2018,2018,Q3,37,9,September,Monday,0,10
11 September 2018,2018,Q3,37,9,September,Tuesday,1,11
12 September 2018,2018,Q3,37,9,September,Wednesday,2,12
13 September 2018,2018,Q3,37,9,September,Thursday,3,13
14 September 2018,2018,Q3,37,9,September,Friday,4,14
15 September 2018,2018,Q3,37,9,September,Saturday,5,15
16 September 2018,2018,Q3,37,9,September,Sunday,6,16
17 September 2018,2018,Q3,38,9,September,Monday,0,17
18 September 2018,2018,Q3,38,9,September,Tuesday,1,18
19 September 2018,2018,Q3,38,9,September,Wednesday,2,19
20 September 2018,2018,Q3,38,9,September,Thursday,3,20
21 September 2018,2018,Q3,38,9,September,Friday,4,21
22 September 2018,2018,Q3,38,9,September,Saturday,5,22
23 September 2018,2018,Q3,38,9,September,Sunday,6,23
24 September 2018,2018,Q3,39,9,September,Monday,0,24
25 September 2018,2018,Q3,39,9,September,Tuesday,1,25
26 September 2018,2018,Q3,39,9,September,Wednesday,2,26
27 September 2018,2018,Q3,39,9,September,Thursday,3,27
28 September 2018,2018,Q3,39,9,September,Friday,4,28
29 September 2018,2018,Q3,39,9,September,Saturday,5,29
30 September 2018,2018,Q3,39,9,September,Sunday,6,30
01 September 2019,2019,Q3,35,9,September,Sunday,6,1
02 September 2019,2019,Q3,36,9,September,Monday,0,2
03 September 2019,2019,Q3,36,9,September,Tuesday,1,3
04 September 2019,2019,Q3,36,9,September,Wednesday,2,4
05 September 2019,2019,Q3,36,9,September,Thursday,3,5
06 September 2019,2019,Q3,36,9,September,Friday,4,6
07 September 2019,2019,Q3,36,9,September,Saturday,5,7
08 September 2019,2019,Q3,36,9,September,Sunday,6,8
09 September 2019,2019,Q3,37,9,September,Monday,0,9
10 September 2019,2019,Q3,37,9,September,Tuesday,1,10
11 September 2019,2019,Q3,37,9,September,Wednesday,2,11
12 September 2019,2019,Q3,37,9,September,Thursday,3,12
13 September 2019,2019,Q3,37,9,September,Friday,4,13
14 September 2019,2019,Q3,37,9,September,Saturday,5,14
15 September 2019,2019,Q3,37,9,September,Sunday,6,15
16 September 2019,2019,Q3,38,9,September,Monday,0,16
17 September 2019,2019,Q3,38,9,September,Tuesday,1,17
18 September 2019,2019,Q3,38,9,September,Wednesday,2,18
19 September 2019,2019,Q3,38,9,September,Thursday,3,19
20 September 2019,2019,Q3,38,9,September,Friday,4,20
21 September 2019,2019,Q3,38,9,September,Saturday,5,21
22 September 2019,2019,Q3,38,9,September,Sunday,6,22
23 September 2019,2019,Q3,39,9,September,Monday,0,23
24 September 2019,2019,Q3,39,9,September,Tuesday,1,24
25 September 2019,2019,Q3,39,9,September,Wednesday,2,25
26 September 2019,2019,Q3,39,9,September,Thursday,3,26
27 September 2019,2019,Q3,39,9,September,Friday,4,27
28 September 2019,2019,Q3,39,9,September,Saturday,5,28
29 September 2019,2019,Q3,39,9,September,Sunday,6,29
30 September 2019,2019,Q3,40,9,September,Monday,0,30
01 September 2020,2020,Q3,36,9,September,Tuesday,1,1
02 September 2020,2020,Q3,36,9,September,Wednesday,2,2
03 September 2020,2020,Q3,36,9,September,Thursday,3,3
04 September 2020,2020,Q3,36,9,September,Friday,4,4
05 September 2020,2020,Q3,36,9,September,Saturday,5,5
06 September 2020,2020,Q3,36,9,September,Sunday,6,6
07 September 2020,2020,Q3,37,9,September,Monday,0,7
08 September 2020,2020,Q3,37,9,September,Tuesday,1,8
09 September 2020,2020,Q3,37,9,September,Wednesday,2,9
10 September 2020,2020,Q3,37,9,September,Thursday,3,10
11 September 2020,2020,Q3,37,9,September,Friday,4,11
12 September 2020,2020,Q3,37,9,September,Saturday,5,12
13 September 2020,2020,Q3,37,9,September,Sunday,6,13
14 September 2020,2020,Q3,38,9,September,Monday,0,14
15 September 2020,2020,Q3,38,9,September,Tuesday,1,15
16 September 2020,2020,Q3,38,9,September,Wednesday,2,16
17 September 2020,2020,Q3,38,9,September,Thursday,3,17
18 September 2020,2020,Q3,38,9,September,Friday,4,18
19 September 2020,2020,Q3,38,9,September,Saturday,5,19
20 September 2020,2020,Q3,38,9,September,Sunday,6,20
21 September 2020,2020,Q3,39,9,September,Monday,0,21
22 September 2020,2020,Q3,39,9,September,Tuesday,1,22
23 September 2020,2020,Q3,39,9,September,Wednesday,2,23
24 September 2020,2020,Q3,39,9,September,Thursday,3,24
