Year,Measure,Sex,OrgCode,Admissions,Stand_Admissions_Rate,
2018/19,FAE_Primary_Obesity,All persons,E06000001,50,56,
2018/19,FAE_Primary_Obesity,All persons,E06000002,45,34,
2018/19,FAE_Primary_Obesity,All persons,E06000003,75,58,
2018/19,FAE_Primary_Obesity,All persons,E06000004,95,50,
2018/19,FAE_Primary_Obesity,All persons,E06000005,30,29,
2018/19,FAE_Primary_Obesity,All persons,E06000006,20,16,
2018/19,FAE_Primary_Obesity,All persons,E06000007,25,11,
2018/19,FAE_Primary_Obesity,All persons,E06000008,25,18,
2018/19,FAE_Primary_Obesity,All persons,E06000009,10,9,
2018/19,FAE_Primary_Obesity,All persons,E06000010,10,5,
2018/19,FAE_Primary_Obesity,All persons,E06000011,20,6,
2018/19,FAE_Primary_Obesity,All persons,E06000012,25,16,
2018/19,FAE_Primary_Obesity,All persons,E06000013,20,13,
2018/19,FAE_Primary_Obesity,All persons,E06000014,10,6,
2018/19,FAE_Primary_Obesity,All persons,E06000015,35,14,
2018/19,FAE_Primary_Obesity,All persons,E06000016,25,8,
2018/19,FAE_Primary_Obesity,All persons,E06000017,,6,
2018/19,FAE_Primary_Obesity,All persons,E06000018,35,13,
2018/19,FAE_Primary_Obesity,All persons,E06000019,35,18,
2018/19,FAE_Primary_Obesity,All persons,E06000020,95,54,
2018/19,FAE_Primary_Obesity,All persons,E06000021,105,44,
2018/19,FAE_Primary_Obesity,All persons,E06000022,20,13,
2018/19,FAE_Primary_Obesity,All persons,E06000023,80,19,
2018/19,FAE_Primary_Obesity,All persons,E06000024,25,12,
2018/19,FAE_Primary_Obesity,All persons,E06000025,45,16,
2018/19,FAE_Primary_Obesity,All persons,E06000026,55,24,
2018/19,FAE_Primary_Obesity,All persons,E06000027,15,12,
2018/19,FAE_Primary_Obesity,All persons,E06000028,30,15,
2018/19,FAE_Primary_Obesity,All persons,E06000029,20,12,
2018/19,FAE_Primary_Obesity,All persons,E06000030,30,12,
2018/19,FAE_Primary_Obesity,All persons,E06000031,40,21,
2018/19,FAE_Primary_Obesity,All persons,E06000032,100,45,
2018/19,FAE_Primary_Obesity,All persons,E06000033,15,9,
2018/19,FAE_Primary_Obesity,All persons,E06000034,35,20,
2018/19,FAE_Primary_Obesity,All persons,E06000035,120,44,
2018/19,FAE_Primary_Obesity,All persons,E06000036,10,7,
2018/19,FAE_Primary_Obesity,All persons,E06000037,40,24,
2018/19,FAE_Primary_Obesity,All persons,E06000038,40,27,
2018/19,FAE_Primary_Obesity,All persons,E06000039,25,17,
2018/19,FAE_Primary_Obesity,All persons,E06000040,15,10,
2018/19,FAE_Primary_Obesity,All persons,E06000041,35,22,
2018/19,FAE_Primary_Obesity,All persons,E06000042,60,23,
2018/19,FAE_Primary_Obesity,All persons,E06000043,50,19,
2018/19,FAE_Primary_Obesity,All persons,E06000044,65,35,
2018/19,FAE_Primary_Obesity,All persons,E06000045,65,29,
2018/19,FAE_Primary_Obesity,All persons,E06000046,15,12,
2018/19,FAE_Primary_Obesity,All persons,E06000047,310,62,
2018/19,FAE_Primary_Obesity,All persons,E06000049,25,7,
2018/19,FAE_Primary_Obesity,All persons,E06000050,10,3,
2018/19,FAE_Primary_Obesity,All persons,E06000051,90,29,
2018/19,FAE_Primary_Obesity,All persons,E06000052,105,19,
2018/19,FAE_Primary_Obesity,All persons,E06000053,0,0,
2018/19,FAE_Primary_Obesity,All persons,E06000054,60,13,
2018/19,FAE_Primary_Obesity,All persons,E06000055,30,17,
2018/19,FAE_Primary_Obesity,All persons,E06000056,60,21,
2018/19,FAE_Primary_Obesity,All persons,E06000057,95,33,
2018/19,FAE_Primary_Obesity,All persons,E08000001,50,18,
2018/19,FAE_Primary_Obesity,All persons,E08000002,30,15,
2018/19,FAE_Primary_Obesity,All persons,E08000003,120,21,
2018/19,FAE_Primary_Obesity,All persons,E08000004,25,10,
2018/19,FAE_Primary_Obesity,All persons,E08000005,30,15,
2018/19,FAE_Primary_Obesity,All persons,E08000006,40,16,
2018/19,FAE_Primary_Obesity,All persons,E08000007,30,10,
2018/19,FAE_Primary_Obesity,All persons,E08000008,15,7,
2018/19,FAE_Primary_Obesity,All persons,E08000009,25,10,
2018/19,FAE_Primary_Obesity,All persons,E08000010,35,10,
2018/19,FAE_Primary_Obesity,All persons,E08000011,45,32,
2018/19,FAE_Primary_Obesity,All persons,E08000012,65,15,
2018/19,FAE_Primary_Obesity,All persons,E08000013,20,11,
2018/19,FAE_Primary_Obesity,All persons,E08000014,60,22,
2018/19,FAE_Primary_Obesity,All persons,E08000015,20,6,
2018/19,FAE_Primary_Obesity,All persons,E08000016,40,17,
2018/19,FAE_Primary_Obesity,All persons,E08000017,120,39,
2018/19,FAE_Primary_Obesity,All persons,E08000018,25,9,
2018/19,FAE_Primary_Obesity,All persons,E08000019,70,13,
2018/19,FAE_Primary_Obesity,All persons,E08000021,60,23,
2018/19,FAE_Primary_Obesity,All persons,E08000022,50,25,
2018/19,FAE_Primary_Obesity,All persons,E08000023,155,107,
2018/19,FAE_Primary_Obesity,All persons,E08000024,340,124,
2018/19,FAE_Primary_Obesity,All persons,E08000025,360,36,
2018/19,FAE_Primary_Obesity,All persons,E08000026,75,24,
2018/19,FAE_Primary_Obesity,All persons,E08000027,45,15,
2018/19,FAE_Primary_Obesity,All persons,E08000028,115,38,
2018/19,FAE_Primary_Obesity,All persons,E08000029,70,34,
2018/19,FAE_Primary_Obesity,All persons,E08000030,80,30,
2018/19,FAE_Primary_Obesity,All persons,E08000031,75,30,
2018/19,FAE_Primary_Obesity,All persons,E08000032,40,8,
2018/19,FAE_Primary_Obesity,All persons,E08000033,40,19,
2018/19,FAE_Primary_Obesity,All persons,E08000034,40,10,
2018/19,FAE_Primary_Obesity,All persons,E08000035,60,9,
2018/19,FAE_Primary_Obesity,All persons,E08000036,25,7,
2018/19,FAE_Primary_Obesity,All persons,E08000037,130,66,
2018/19,FAE_Primary_Obesity,All persons,E09000001,0,0,
2018/19,FAE_Primary_Obesity,All persons,E09000002,60,32,
2018/19,FAE_Primary_Obesity,All persons,E09000003,90,25,
2018/19,FAE_Primary_Obesity,All persons,E09000004,110,45,
2018/19,FAE_Primary_Obesity,All persons,E09000005,90,30,
2018/19,FAE_Primary_Obesity,All persons,E09000006,105,31,
2018/19,FAE_Primary_Obesity,All persons,E09000007,45,18,
2018/19,FAE_Primary_Obesity,All persons,E09000008,120,31,
2018/19,FAE_Primary_Obesity,All persons,E09000009,135,44,
2018/19,FAE_Primary_Obesity,All persons,E09000010,70,21,
2018/19,FAE_Primary_Obesity,All persons,E09000011,95,37,
2018/19,FAE_Primary_Obesity,All persons,E09000012,80,32,
2018/19,FAE_Primary_Obesity,All persons,E09000013,50,28,
2018/19,FAE_Primary_Obesity,All persons,E09000014,60,24,
2018/19,FAE_Primary_Obesity,All persons,E09000015,55,23,
2018/19,FAE_Primary_Obesity,All persons,E09000016,55,23,
2018/19,FAE_Primary_Obesity,All persons,E09000017,100,39,
2018/19,FAE_Primary_Obesity,All persons,E09000018,90,36,
2018/19,FAE_Primary_Obesity,All persons,E09000019,55,30,
2018/19,FAE_Primary_Obesity,All persons,E09000020,30,19,
2018/19,FAE_Primary_Obesity,All persons,E09000021,30,19,
2018/19,FAE_Primary_Obesity,All persons,E09000022,185,64,
2018/19,FAE_Primary_Obesity,All persons,E09000023,200,70,
2018/19,FAE_Primary_Obesity,All persons,E09000024,45,21,
2018/19,FAE_Primary_Obesity,All persons,E09000025,50,16,
2018/19,FAE_Primary_Obesity,All persons,E09000026,45,16,
2018/19,FAE_Primary_Obesity,All persons,E09000027,25,13,
2018/19,FAE_Primary_Obesity,All persons,E09000028,245,84,
2018/19,FAE_Primary_Obesity,All persons,E09000029,40,20,
2018/19,FAE_Primary_Obesity,All persons,E09000030,35,15,
2018/19,FAE_Primary_Obesity,All persons,E09000031,45,19,
2018/19,FAE_Primary_Obesity,All persons,E09000032,50,18,
2018/19,FAE_Primary_Obesity,All persons,E09000033,75,29,
2018/19,FAE_Primary_Obesity,All persons,E10000002,50,10,
2018/19,FAE_Primary_Obesity,All persons,E10000003,90,14,
2018/19,FAE_Primary_Obesity,All persons,E10000006,45,10,
2018/19,FAE_Primary_Obesity,All persons,E10000007,95,13,
2018/19,FAE_Primary_Obesity,All persons,E10000008,80,11,
2018/19,FAE_Primary_Obesity,All persons,E10000009,40,10,
2018/19,FAE_Primary_Obesity,All persons,E10000011,125,24,
2018/19,FAE_Primary_Obesity,All persons,E10000012,140,10,
2018/19,FAE_Primary_Obesity,All persons,E10000013,50,8,
2018/19,FAE_Primary_Obesity,All persons,E10000014,290,22,
2018/19,FAE_Primary_Obesity,All persons,E10000015,205,18,
2018/19,FAE_Primary_Obesity,All persons,E10000016,330,22,
2018/19,FAE_Primary_Obesity,All persons,E10000017,145,12,
2018/19,FAE_Primary_Obesity,All persons,E10000018,50,7,
2018/19,FAE_Primary_Obesity,All persons,E10000019,70,10,
2018/19,FAE_Primary_Obesity,All persons,E10000020,130,15,
2018/19,FAE_Primary_Obesity,All persons,E10000021,125,17,
2018/19,FAE_Primary_Obesity,All persons,E10000023,70,12,
2018/19,FAE_Primary_Obesity,All persons,E10000024,55,7,
2018/19,FAE_Primary_Obesity,All persons,E10000025,75,11,
2018/19,FAE_Primary_Obesity,All persons,E10000027,105,20,
2018/19,FAE_Primary_Obesity,All persons,E10000028,175,21,
2018/19,FAE_Primary_Obesity,All persons,E10000029,65,9,
2018/19,FAE_Primary_Obesity,All persons,E10000030,290,25,
2018/19,FAE_Primary_Obesity,All persons,E10000031,90,16,
2018/19,FAE_Primary_Obesity,All persons,E10000032,165,19,
2018/19,FAE_Primary_Obesity,All persons,E10000034,130,23,
2018/19,FAE_Primary_Obesity,All persons,E12000001,1430,56,
2018/19,FAE_Primary_Obesity,All persons,E12000002,910,13,
2018/19,FAE_Primary_Obesity,All persons,E12000003,620,12,
2018/19,FAE_Primary_Obesity,All persons,E12000004,490,11,
2018/19,FAE_Primary_Obesity,All persons,E12000005,1550,28,
2018/19,FAE_Primary_Obesity,All persons,E12000006,905,15,
2018/19,FAE_Primary_Obesity,All persons,E12000007,2575,31,
2018/19,FAE_Primary_Obesity,All persons,E12000008,1870,21,
2018/19,FAE_Primary_Obesity,All persons,E12000009,765,14,
2018/19,FAE_Primary_Obesity,All persons,E92000001,11117,20.4,
2018/19,FAE_Primary_Obesity,Female,E06000001,40,86,
2018/19,FAE_Primary_Obesity,Female,E06000002,35,53,
2018/19,FAE_Primary_Obesity,Female,E06000003,60,90,
2018/19,FAE_Primary_Obesity,Female,E06000004,75,78,
2018/19,FAE_Primary_Obesity,Female,E06000005,20,39,
2018/19,FAE_Primary_Obesity,Female,E06000006,15,25,
2018/19,FAE_Primary_Obesity,Female,E06000007,20,18,
2018/19,FAE_Primary_Obesity,Female,E06000008,20,30,
2018/19,FAE_Primary_Obesity,Female,E06000009,,11,
2018/19,FAE_Primary_Obesity,Female,E06000010,10,6,
2018/19,FAE_Primary_Obesity,Female,E06000011,10,8,
2018/19,FAE_Primary_Obesity,Female,E06000012,15,19,
2018/19,FAE_Primary_Obesity,Female,E06000013,15,16,
2018/19,FAE_Primary_Obesity,Female,E06000014,10,10,
2018/19,FAE_Primary_Obesity,Female,E06000015,30,25,
2018/19,FAE_Primary_Obesity,Female,E06000016,20,12,
2018/19,FAE_Primary_Obesity,Female,E06000017,,12,
2018/19,FAE_Primary_Obesity,Female,E06000018,25,18,
2018/19,FAE_Primary_Obesity,Female,E06000019,30,32,
2018/19,FAE_Primary_Obesity,Female,E06000020,70,78,
2018/19,FAE_Primary_Obesity,Female,E06000021,85,70,
2018/19,FAE_Primary_Obesity,Female,E06000022,15,20,
2018/19,FAE_Primary_Obesity,Female,E06000023,60,29,
2018/19,FAE_Primary_Obesity,Female,E06000024,15,16,
2018/19,FAE_Primary_Obesity,Female,E06000025,30,22,
2018/19,FAE_Primary_Obesity,Female,E06000026,45,37,
2018/19,FAE_Primary_Obesity,Female,E06000027,10,14,
2018/19,FAE_Primary_Obesity,Female,E06000028,20,21,
2018/19,FAE_Primary_Obesity,Female,E06000029,15,21,
2018/19,FAE_Primary_Obesity,Female,E06000030,20,19,
2018/19,FAE_Primary_Obesity,Female,E06000031,25,28,
2018/19,FAE_Primary_Obesity,Female,E06000032,65,65,
2018/19,FAE_Primary_Obesity,Female,E06000033,10,12,
2018/19,FAE_Primary_Obesity,Female,E06000034,25,28,
2018/19,FAE_Primary_Obesity,Female,E06000035,85,60,
2018/19,FAE_Primary_Obesity,Female,E06000036,,8,
2018/19,FAE_Primary_Obesity,Female,E06000037,30,39,
2018/19,FAE_Primary_Obesity,Female,E06000038,30,37,
2018/19,FAE_Primary_Obesity,Female,E06000039,20,24,
2018/19,FAE_Primary_Obesity,Female,E06000040,15,18,
2018/19,FAE_Primary_Obesity,Female,E06000041,30,35,
2018/19,FAE_Primary_Obesity,Female,E06000042,50,38,
2018/19,FAE_Primary_Obesity,Female,E06000043,40,29,
2018/19,FAE_Primary_Obesity,Female,E06000044,40,44,
2018/19,FAE_Primary_Obesity,Female,E06000045,50,44,
2018/19,FAE_Primary_Obesity,Female,E06000046,10,16,
2018/19,FAE_Primary_Obesity,Female,E06000047,215,83,
2018/19,FAE_Primary_Obesity,Female,E06000049,20,11,
2018/19,FAE_Primary_Obesity,Female,E06000050,,4,
2018/19,FAE_Primary_Obesity,Female,E06000051,80,49,
2018/19,FAE_Primary_Obesity,Female,E06000052,85,30,
2018/19,FAE_Primary_Obesity,Female,E06000053,0,0,
2018/19,FAE_Primary_Obesity,Female,E06000054,50,21,
2018/19,FAE_Primary_Obesity,Female,E06000055,20,22,
2018/19,FAE_Primary_Obesity,Female,E06000056,50,35,
2018/19,FAE_Primary_Obesity,Female,E06000057,75,49,
2018/19,FAE_Primary_Obesity,Female,E08000001,35,24,
2018/19,FAE_Primary_Obesity,Female,E08000002,20,21,
2018/19,FAE_Primary_Obesity,Female,E08000003,70,27,
2018/19,FAE_Primary_Obesity,Female,E08000004,15,13,
2018/19,FAE_Primary_Obesity,Female,E08000005,20,19,
2018/19,FAE_Primary_Obesity,Female,E08000006,25,22,
2018/19,FAE_Primary_Obesity,Female,E08000007,20,15,
2018/19,FAE_Primary_Obesity,Female,E08000008,10,10,
2018/19,FAE_Primary_Obesity,Female,E08000009,20,15,
2018/19,FAE_Primary_Obesity,Female,E08000010,25,16,
2018/19,FAE_Primary_Obesity,Female,E08000011,35,47,
2018/19,FAE_Primary_Obesity,Female,E08000012,50,21,
2018/19,FAE_Primary_Obesity,Female,E08000013,10,13,
2018/19,FAE_Primary_Obesity,Female,E08000014,45,34,
2018/19,FAE_Primary_Obesity,Female,E08000015,10,7,
2018/19,FAE_Primary_Obesity,Female,E08000016,35,28,
2018/19,FAE_Primary_Obesity,Female,E08000017,90,60,
2018/19,FAE_Primary_Obesity,Female,E08000018,20,14,
2018/19,FAE_Primary_Obesity,Female,E08000019,50,19,
2018/19,FAE_Primary_Obesity,Female,E08000021,45,32,
2018/19,FAE_Primary_Obesity,Female,E08000022,40,40,
2018/19,FAE_Primary_Obesity,Female,E08000023,105,143,
2018/19,FAE_Primary_Obesity,Female,E08000024,240,170,
2018/19,FAE_Primary_Obesity,Female,E08000025,285,55,
2018/19,FAE_Primary_Obesity,Female,E08000026,60,38,
2018/19,FAE_Primary_Obesity,Female,E08000027,35,22,
2018/19,FAE_Primary_Obesity,Female,E08000028,90,58,
2018/19,FAE_Primary_Obesity,Female,E08000029,55,52,
2018/19,FAE_Primary_Obesity,Female,E08000030,65,48,
2018/19,FAE_Primary_Obesity,Female,E08000031,55,44,
2018/19,FAE_Primary_Obesity,Female,E08000032,30,11,
2018/19,FAE_Primary_Obesity,Female,E08000033,30,28,
2018/19,FAE_Primary_Obesity,Female,E08000034,30,14,
2018/19,FAE_Primary_Obesity,Female,E08000035,35,10,
2018/19,FAE_Primary_Obesity,Female,E08000036,15,8,
2018/19,FAE_Primary_Obesity,Female,E08000037,105,104,
2018/19,FAE_Primary_Obesity,Female,E09000001,0,0,
2018/19,FAE_Primary_Obesity,Female,E09000002,50,51,
2018/19,FAE_Primary_Obesity,Female,E09000003,55,29,
2018/19,FAE_Primary_Obesity,Female,E09000004,80,64,
2018/19,FAE_Primary_Obesity,Female,E09000005,70,46,
2018/19,FAE_Primary_Obesity,Female,E09000006,80,46,
2018/19,FAE_Primary_Obesity,Female,E09000007,35,28,
2018/19,FAE_Primary_Obesity,Female,E09000008,90,46,
2018/19,FAE_Primary_Obesity,Female,E09000009,90,58,
2018/19,FAE_Primary_Obesity,Female,E09000010,55,32,
2018/19,FAE_Primary_Obesity,Female,E09000011,80,60,
2018/19,FAE_Primary_Obesity,Female,E09000012,60,48,
2018/19,FAE_Primary_Obesity,Female,E09000013,35,39,
2018/19,FAE_Primary_Obesity,Female,E09000014,45,35,
2018/19,FAE_Primary_Obesity,Female,E09000015,40,33,
2018/19,FAE_Primary_Obesity,Female,E09000016,40,30,
2018/19,FAE_Primary_Obesity,Female,E09000017,70,52,
2018/19,FAE_Primary_Obesity,Female,E09000018,60,48,
2018/19,FAE_Primary_Obesity,Female,E09000019,45,48,
2018/19,FAE_Primary_Obesity,Female,E09000020,25,31,
2018/19,FAE_Primary_Obesity,Female,E09000021,15,19,
2018/19,FAE_Primary_Obesity,Female,E09000022,155,105,
2018/19,FAE_Primary_Obesity,Female,E09000023,150,98,
2018/19,FAE_Primary_Obesity,Female,E09000024,30,29,
2018/19,FAE_Primary_Obesity,Female,E09000025,40,26,
2018/19,FAE_Primary_Obesity,Female,E09000026,35,25,
2018/19,FAE_Primary_Obesity,Female,E09000027,15,16,
2018/19,FAE_Primary_Obesity,Female,E09000028,190,126,
2018/19,FAE_Primary_Obesity,Female,E09000029,25,22,
2018/19,FAE_Primary_Obesity,Female,E09000030,30,26,
2018/19,FAE_Primary_Obesity,Female,E09000031,30,26,
2018/19,FAE_Primary_Obesity,Female,E09000032,40,27,
2018/19,FAE_Primary_Obesity,Female,E09000033,55,46,
2018/19,FAE_Primary_Obesity,Female,E10000002,30,12,
2018/19,FAE_Primary_Obesity,Female,E10000003,55,17,
2018/19,FAE_Primary_Obesity,Female,E10000006,35,15,
2018/19,FAE_Primary_Obesity,Female,E10000007,70,19,
2018/19,FAE_Primary_Obesity,Female,E10000008,65,18,
2018/19,FAE_Primary_Obesity,Female,E10000009,30,14,
2018/19,FAE_Primary_Obesity,Female,E10000011,90,34,
2018/19,FAE_Primary_Obesity,Female,E10000012,100,14,
2018/19,FAE_Primary_Obesity,Female,E10000013,30,10,
2018/19,FAE_Primary_Obesity,Female,E10000014,225,33,
2018/19,FAE_Primary_Obesity,Female,E10000015,140,24,
2018/19,FAE_Primary_Obesity,Female,E10000016,235,31,
2018/19,FAE_Primary_Obesity,Female,E10000017,100,17,
2018/19,FAE_Primary_Obesity,Female,E10000018,40,12,
2018/19,FAE_Primary_Obesity,Female,E10000019,50,13,
2018/19,FAE_Primary_Obesity,Female,E10000020,100,22,
2018/19,FAE_Primary_Obesity,Female,E10000021,95,26,
2018/19,FAE_Primary_Obesity,Female,E10000023,45,16,
2018/19,FAE_Primary_Obesity,Female,E10000024,45,11,
2018/19,FAE_Primary_Obesity,Female,E10000025,60,18,
2018/19,FAE_Primary_Obesity,Female,E10000027,80,29,
2018/19,FAE_Primary_Obesity,Female,E10000028,135,32,
2018/19,FAE_Primary_Obesity,Female,E10000029,50,14,
2018/19,FAE_Primary_Obesity,Female,E10000030,215,37,
2018/19,FAE_Primary_Obesity,Female,E10000031,70,25,
2018/19,FAE_Primary_Obesity,Female,E10000032,115,27,
2018/19,FAE_Primary_Obesity,Female,E10000034,105,37,
2018/19,FAE_Primary_Obesity,Female,E12000001,1050,81,
2018/19,FAE_Primary_Obesity,Female,E12000002,640,18,
2018/19,FAE_Primary_Obesity,Female,E12000003,435,16,
2018/19,FAE_Primary_Obesity,Female,E12000004,380,16,
2018/19,FAE_Primary_Obesity,Female,E12000005,1215,43,
2018/19,FAE_Primary_Obesity,Female,E12000006,640,21,
2018/19,FAE_Primary_Obesity,Female,E12000007,1930,45,
2018/19,FAE_Primary_Obesity,Female,E12000008,1370,30,
2018/19,FAE_Primary_Obesity,Female,E12000009,580,21,
2018/19,FAE_Primary_Obesity,Female,E92000001,8237,30,
2018/19,FAE_Primary_Obesity,Male,E06000001,10,24,
2018/19,FAE_Primary_Obesity,Male,E06000002,10,15,
2018/19,FAE_Primary_Obesity,Male,E06000003,15,22,
2018/19,FAE_Primary_Obesity,Male,E06000004,20,21,
2018/19,FAE_Primary_Obesity,Male,E06000005,10,18,
2018/19,FAE_Primary_Obesity,Male,E06000006,,6,
2018/19,FAE_Primary_Obesity,Male,E06000007,,5,
2018/19,FAE_Primary_Obesity,Male,E06000008,,6,
2018/19,FAE_Primary_Obesity,Male,E06000009,,8,
2018/19,FAE_Primary_Obesity,Male,E06000010,,3,
2018/19,FAE_Primary_Obesity,Male,E06000011,,4,
2018/19,FAE_Primary_Obesity,Male,E06000012,10,13,
2018/19,FAE_Primary_Obesity,Male,E06000013,10,11,
2018/19,FAE_Primary_Obesity,Male,E06000014,,1,
2018/19,FAE_Primary_Obesity,Male,E06000015,,3,
2018/19,FAE_Primary_Obesity,Male,E06000016,,3,
2018/19,FAE_Primary_Obesity,Male,E06000017,0,0,
2018/19,FAE_Primary_Obesity,Male,E06000018,10,8,
2018/19,FAE_Primary_Obesity,Male,E06000019,,4,
2018/19,FAE_Primary_Obesity,Male,E06000020,25,29,
2018/19,FAE_Primary_Obesity,Male,E06000021,25,19,
2018/19,FAE_Primary_Obesity,Male,E06000022,,6,
2018/19,FAE_Primary_Obesity,Male,E06000023,20,8,
2018/19,FAE_Primary_Obesity,Male,E06000024,10,8,
2018/19,FAE_Primary_Obesity,Male,E06000025,15,10,
2018/19,FAE_Primary_Obesity,Male,E06000026,10,10,
2018/19,FAE_Primary_Obesity,Male,E06000027,,9,
2018/19,FAE_Primary_Obesity,Male,E06000028,10,9,
2018/19,FAE_Primary_Obesity,Male,E06000029,,4,
2018/19,FAE_Primary_Obesity,Male,E06000030,,6,
2018/19,FAE_Primary_Obesity,Male,E06000031,15,13,
2018/19,FAE_Primary_Obesity,Male,E06000032,30,26,
2018/19,FAE_Primary_Obesity,Male,E06000033,,7,
2018/19,FAE_Primary_Obesity,Male,E06000034,10,12,
2018/19,FAE_Primary_Obesity,Male,E06000035,35,27,
2018/19,FAE_Primary_Obesity,Male,E06000036,,6,
2018/19,FAE_Primary_Obesity,Male,E06000037,,9,
2018/19,FAE_Primary_Obesity,Male,E06000038,10,18,
2018/19,FAE_Primary_Obesity,Male,E06000039,,9,
2018/19,FAE_Primary_Obesity,Male,E06000040,,2,
2018/19,FAE_Primary_Obesity,Male,E06000041,,8,
2018/19,FAE_Primary_Obesity,Male,E06000042,10,8,
2018/19,FAE_Primary_Obesity,Male,E06000043,10,9,
2018/19,FAE_Primary_Obesity,Male,E06000044,25,26,
2018/19,FAE_Primary_Obesity,Male,E06000045,15,14,
2018/19,FAE_Primary_Obesity,Male,E06000046,,8,
2018/19,FAE_Primary_Obesity,Male,E06000047,95,40,
2018/19,FAE_Primary_Obesity,Male,E06000049,,3,
2018/19,FAE_Primary_Obesity,Male,E06000050,,3,
2018/19,FAE_Primary_Obesity,Male,E06000051,15,8,
2018/19,FAE_Primary_Obesity,Male,E06000052,20,8,
2018/19,FAE_Primary_Obesity,Male,E06000053,0,0,
2018/19,FAE_Primary_Obesity,Male,E06000054,10,5,
2018/19,FAE_Primary_Obesity,Male,E06000055,10,12,
2018/19,FAE_Primary_Obesity,Male,E06000056,10,8,
2018/19,FAE_Primary_Obesity,Male,E06000057,20,15,
2018/19,FAE_Primary_Obesity,Male,E08000001,15,12,
2018/19,FAE_Primary_Obesity,Male,E08000002,10,8,
2018/19,FAE_Primary_Obesity,Male,E08000003,50,16,
2018/19,FAE_Primary_Obesity,Male,E08000004,10,6,
2018/19,FAE_Primary_Obesity,Male,E08000005,10,10,
2018/19,FAE_Primary_Obesity,Male,E08000006,10,9,
2018/19,FAE_Primary_Obesity,Male,E08000007,10,5,
2018/19,FAE_Primary_Obesity,Male,E08000008,,5,
2018/19,FAE_Primary_Obesity,Male,E08000009,,4,
2018/19,FAE_Primary_Obesity,Male,E08000010,,4,
2018/19,FAE_Primary_Obesity,Male,E08000011,10,15,
2018/19,FAE_Primary_Obesity,Male,E08000012,20,8,
2018/19,FAE_Primary_Obesity,Male,E08000013,10,10,
2018/19,FAE_Primary_Obesity,Male,E08000014,15,10,
2018/19,FAE_Primary_Obesity,Male,E08000015,,4,
2018/19,FAE_Primary_Obesity,Male,E08000016,10,6,
2018/19,FAE_Primary_Obesity,Male,E08000017,25,18,
2018/19,FAE_Primary_Obesity,Male,E08000018,,4,
2018/19,FAE_Primary_Obesity,Male,E08000019,20,7,
2018/19,FAE_Primary_Obesity,Male,E08000021,20,14,
2018/19,FAE_Primary_Obesity,Male,E08000022,10,10,
2018/19,FAE_Primary_Obesity,Male,E08000023,50,69,
2018/19,FAE_Primary_Obesity,Male,E08000024,100,75,
2018/19,FAE_Primary_Obesity,Male,E08000025,75,16,
2018/19,FAE_Primary_Obesity,Male,E08000026,15,11,
2018/19,FAE_Primary_Obesity,Male,E08000027,10,8,
2018/19,FAE_Primary_Obesity,Male,E08000028,25,17,
2018/19,FAE_Primary_Obesity,Male,E08000029,15,15,
2018/19,FAE_Primary_Obesity,Male,E08000030,15,11,
2018/19,FAE_Primary_Obesity,Male,E08000031,20,16,
