Year,OrgCode,Items,Population,Rate,
2018/19,E38000001,870,160106,5.433900041,
2018/19,E38000002,580,129281,4.486351436,
2018/19,E38000004,2197,211998,10.36330531,
2018/19,E38000005,3146,392140,8.022644974,
2018/19,E38000006,4378,245199,17.85488522,
2018/19,E38000007,1563,262412,5.956282487,
2018/19,E38000008,493,116839,4.219481509,
2018/19,E38000009,934,192106,4.86189916,
2018/19,E38000010,2186,455229,4.801978784,
2018/19,E38000011,856,247258,3.461970897,
2018/19,E38000012,1,,,
2018/19,E38000014,2017,148942,13.54218421,
2018/19,E38000015,1279,139305,9.181292847,
2018/19,E38000016,2710,285372,9.496376659,
2018/19,E38000018,1205,85957,14.01863723,
2018/19,E38000019,1548,341873,4.527997239,
2018/19,E38000020,3087,330795,9.332063665,
2018/19,E38000021,1777,290395,6.119251365,
2018/19,E38000023,1495,331096,4.515306739,
2018/19,E38000024,1141,190108,6.001851579,
2018/19,E38000025,1557,210082,7.411391742,
2018/19,E38000026,2908,889112,3.27067906,
2018/19,E38000027,1288,262226,4.911793644,
2018/19,E38000028,818,136974,5.97193628,
2018/19,E38000029,1137,213598,5.32308355,
2018/19,E38000030,844,177051,4.766988043,
2018/19,E38000031,2080,185422,11.21765486,
2018/19,E38000034,739,176862,4.178398978,
2018/19,E38000035,2362,288371,8.190837498,
2018/19,E38000037,23,70827,0.324734918,
2018/19,E38000038,3359,473979,7.086811863,
2018/19,E38000039,597,112448,5.30912066,
2018/19,E38000040,3358,385346,8.714246418,
2018/19,E38000042,527,106566,4.945292119,
2018/19,E38000043,1562,264478,5.905973276,
2018/19,E38000044,4138,310542,13.32508968,
2018/19,E38000045,3426,772268,4.436283777,
2018/19,E38000046,1296,320626,4.042092656,
2018/19,E38000047,2588,275314,9.400175799,
2018/19,E38000048,2574,341982,7.526711932,
2018/19,E38000049,2283,569078,4.011752343,
2018/19,E38000050,4817,380013,12.67588214,
2018/19,E38000051,1348,335800,4.014294223,
2018/19,E38000052,2246,317404,7.07615531,
2018/19,E38000053,743,128418,5.785793269,
2018/19,E38000054,798,186016,4.289953552,
2018/19,E38000055,1008,191604,5.260850504,
2018/19,E38000056,1235,197296,6.2596302,
2018/19,E38000057,2533,333869,7.586808,
2018/19,E38000058,339,97354,3.482137354,
2018/19,E38000059,889,201622,4.409241055,
2018/19,E38000062,3394,633558,5.357047027,
2018/19,E38000063,1052,217681,4.832759864,
2018/19,E38000064,1508,245977,6.130654492,
2018/19,E38000066,1657,286186,5.789940808,
2018/19,E38000068,1718,128432,13.37672854,
2018/19,E38000069,1115,152950,7.289964041,
2018/19,E38000070,1203,185426,6.487763313,
2018/19,E38000071,715,113011,6.326817743,
2018/19,E38000072,2265,270624,8.369545938,
2018/19,E38000073,829,160533,5.164047268,
2018/19,E38000074,1554,250149,6.212297471,
2018/19,E38000075,2553,290455,8.789657606,
2018/19,E38000076,1415,188511,7.506193273,
2018/19,E38000077,1575,257810,6.109150149,
2018/19,E38000078,542,192107,2.821344355,
2018/19,E38000079,2370,595670,3.978713046,
2018/19,E38000080,2603,220001,11.8317644,
2018/19,E38000081,527,174475,3.020490042,
2018/19,E38000082,1388,304824,4.553447235,
2018/19,E38000083,448,238955,1.874829989,
2018/19,E38000084,1477,270782,5.454572313,
2018/19,E38000085,3064,260645,11.75545282,
2018/19,E38000086,1556,409248,3.802095551,
2018/19,E38000087,496,141538,3.504359253,
2018/19,E38000088,1701,239142,7.11292872,
2018/19,E38000089,4837,568210,8.51269777,
2018/19,E38000090,884,175470,5.037898216,
2018/19,E38000091,2219,149571,14.83576362,
2018/19,E38000092,2708,325917,8.308863913,
2018/19,E38000096,1,,,
2018/19,E38000097,3046,355218,8.575015906,
2018/19,E38000098,2306,303536,7.597121923,
2018/19,E38000099,2083,237642,8.765285598,
2018/19,E38000100,2301,241193,9.540077863,
2018/19,E38000101,5735,494814,11.5902137,
2018/19,E38000102,1642,214109,7.668991028,
2018/19,E38000103,29,200715,0.144483472,
2018/19,E38000104,2132,277855,7.673066887,
2018/19,E38000105,1207,206186,5.853937707,
2018/19,E38000106,1865,393065,4.744762317,
2018/19,E38000107,1998,275002,7.265401706,
2018/19,E38000108,131,659823,0.198538093,
2018/19,E38000109,137,121830,1.124517771,
2018/19,E38000113,4214,352005,11.97142086,
2018/19,E38000115,2010,274480,7.322937919,
2018/19,E38000116,2729,251666,10.84373733,
2018/19,E38000117,1993,338326,5.890768076,
2018/19,E38000118,696,211590,3.289380406,
2018/19,E38000119,859,159821,5.374763016,
2018/19,E38000120,941,223795,4.204740946,
2018/19,E38000121,2027,192750,10.51621271,
2018/19,E38000122,1680,172005,9.767157932,
2018/19,E38000124,1378,173784,7.929383603,
2018/19,E38000126,1960,219571,8.926497579,
2018/19,E38000127,1327,205985,6.442216666,
2018/19,E38000128,1393,348734,3.994448491,
2018/19,E38000129,5418,908806,5.961668387,
2018/19,E38000130,2206,320274,6.887852277,
2018/19,E38000132,2713,331069,8.194666369,
2018/19,E38000133,558,152799,3.65185636,
2018/19,E38000134,337,113272,2.975139487,
2018/19,E38000135,2364,235623,10.03297641,
2018/19,E38000136,2571,672414,3.823537285,
2018/19,E38000137,1093,215133,5.080578061,
2018/19,E38000138,2129,303858,7.006562276,
2018/19,E38000139,817,183651,4.44865533,
2018/19,E38000140,838,196904,4.255881039,
2018/19,E38000141,1226,264671,4.632165972,
2018/19,E38000142,197,117671,1.674159309,
2018/19,E38000143,2086,254408,8.199427691,
2018/19,E38000144,4558,504641,9.032163459,
2018/19,E38000145,831,113338,7.332051033,
2018/19,E38000146,6752,582506,11.59129691,
2018/19,E38000147,1341,320274,4.187039847,
2018/19,E38000150,3285,559399,5.872373744,
2018/19,E38000151,980,183494,5.340774085,
2018/19,E38000152,1269,285360,4.447014298,
2018/19,E38000153,1530,226137,6.765810106,
2018/19,E38000154,1129,216379,5.217696727,
2018/19,E38000156,1362,211462,6.440873538,
2018/19,E38000157,897,150698,5.952301955,
2018/19,E38000161,1883,159237,11.82514114,
2018/19,E38000162,3176,277263,11.45482809,
2018/19,E38000163,2229,150265,14.83379363,
2018/19,E38000164,1401,270064,5.187659222,
2018/19,E38000165,880,126300,6.967537609,
2018/19,E38000166,2119,307344,6.894554636,
2018/19,E38000167,1019,252796,4.030918211,
2018/19,E38000168,1123,182463,6.154672454,
2018/19,E38000169,2300,535055,4.298623506,
2018/19,E38000170,849,116159,7.308947219,
2018/19,E38000171,2939,317256,9.26381219,
2018/19,E38000172,2392,180049,13.28527234,
2018/19,E38000173,1142,155803,7.329769003,
2018/19,E38000174,656,291775,2.248307771,
2018/19,E38000175,4373,264149,16.55505037,
2018/19,E38000176,3097,277417,11.16369941,
2018/19,E38000177,1320,292579,4.511601995,
2018/19,E38000178,427,96474,4.426062981,
2018/19,E38000179,1132,204525,5.5347757,
2018/19,E38000180,835,117559,7.102816458,
2018/19,E38000181,1364,228258,5.975694171,
2018/19,E38000182,1904,258613,7.362352241,
2018/19,E38000183,925,177799,5.202503951,
2018/19,E38000184,1071,141819,7.551879508,
2018/19,E38000185,1324,172525,7.674250109,
2018/19,E38000186,2443,317705,7.6895233,
2018/19,E38000187,1369,236370,5.791767145,
2018/19,E38000188,2535,362955,6.984336901,
2018/19,E38000189,426,106251,4.009374029,
2018/19,E38000190,3038,345038,8.804827294,
2018/19,E38000191,2070,283378,7.304730784,
2018/19,E38000192,2683,276700,9.696422118,
2018/19,E38000193,2050,326474,6.279213659,
2018/19,E38000194,1109,209547,5.292368777,
2018/19,E38000195,1489,193752,7.68508196,
2018/19,E38000196,1144,234251,4.883650443,
2018/19,E38000197,1387,306910,4.519240168,
2018/19,E38000198,1732,566879,3.05532574,
2018/19,E38000199,2987,490426,6.090623254,
2018/19,E38000200,446,113949,3.914031716,
2018/19,E38000201,2740,402165,6.813123967,
2018/19,E38000202,1282,226099,5.670082574,
2018/19,E38000203,1182,175904,6.719574313,
2018/19,E38000204,1468,230997,6.355060888,
2018/19,E38000205,4318,326088,13.24182429,
2018/19,E38000206,1778,498064,3.569822352,
2018/19,E38000208,2666,323235,8.247869197,
2018/19,E38000210,3546,262008,13.5339379,
2018/19,E38000211,618,101062,6.115058083,
2018/19,E38000212,4807,502704,9.562287151,
2018/19,E38000213,1459,507449,2.87516578,
2018/19,E38000214,663,209413,3.16599256,
2018/19,E38000215,1698,318631,5.329048335,
2018/19,E38000217,7097,547627,12.95955094,
2018/19,E38000218,1633,219071,7.454204345,
2018/19,E38000219,1279,235551,5.429821992,
2018/19,E38000220,9998,1179020,8.479924005,
2018/19,E38000221,1401,489709,2.860882688,
2018/19,E38000222,3499,959968,3.644913164,
2018/19,E38000223,1668,542512,3.074586369,
2018/19,E38000224,1391,434463,3.201653536,
2018/19,E38000225,4267,789194,5.406782109,
2018/19,E38000226,960,192421,4.989060446,
2018/19,E38000227,1445,202562,7.133618349,
2018/19,E38000228,2209,330572,6.682356642,
2018/19,UNKNOWN,201,,,
